epoch,train_loss,val_loss,val_f1,val_iou,val_prec,val_rec,lr,epoch_time
0,0.639793859140293,0.4969457135750697,0.38651132837655877,0.23955007256894048,0.2459578272855972,0.901912568306011,3.175693830118889e-05,177.08129954338074
1,0.5749343965236131,0.48576714442326474,0.6499481125527963,0.48142454271278057,0.5100685762898256,0.8955373406193078,6.587587321960569e-05,149.5051863193512
2,0.5161214018458719,0.45826249512342304,0.6801782940501114,0.51535619620726,0.5404851347000107,0.9172495446265938,0.00011901401964909981,149.77625060081482
3,0.37663725562192296,0.24822935863183096,0.7742941736280005,0.6317128930681966,0.7499487914789021,0.8002732240437158,0.0001859651950145784,148.30429601669312
4,0.19308664082541122,0.16480724341594255,0.7868103408407714,0.6485468573694001,0.7992671239312223,0.774735883424408,0.00026016989233300836,150.0066134929657
5,0.1655400439694121,0.15034188659718403,0.7855268636051161,0.6468046431532624,0.8384489779045493,0.7388888888888889,0.0003343579445374632,150.55991458892822
6,0.1545425628622373,0.1459004642585149,0.7894618019768938,0.6521576958629972,0.8560359324775955,0.7324954462659381,0.00040126081535749974,149.12595653533936
7,0.14994582382811084,0.14697899153599372,0.7811407331710298,0.6408785283335251,0.8679892236100906,0.7100910746812387,0.00045432373042308835,150.06388401985168
8,0.1495632140284723,0.1374257169663906,0.7979944761483164,0.663885864343816,0.8459184298043376,0.7552094717668488,0.0004883478779133345,148.93520736694336
9,0.14567058516649511,0.1379336855159356,0.7929306821754165,0.6569056726621633,0.8606372089055703,0.7351001821493625,0.0004999999969095832,148.40329241752625
10,0.1432427806225983,0.12718860274897173,0.8055689637222333,0.6744374009508717,0.8384459286403846,0.7751730418943533,0.0004998463324090033,148.1315450668335
11,0.13999625159477866,0.13231976272968146,0.7993738535854565,0.6657974724044153,0.8454163196489873,0.7580874316939891,0.0004993882698566062,148.33463668823242
12,0.14170129771705145,0.1352452329145028,0.7927140720201393,0.656608392136716,0.7939016369482608,0.7915300546448087,0.0004986263673310528,148.19319677352905
13,0.1406829495419253,0.1221333431223264,0.8118616443317639,0.6833056440427381,0.8071840115232265,0.8165938069216758,0.0004975615530932084,147.7965362071991
14,0.13979990830695307,0.12535348606224245,0.8068548234133758,0.6762419521500675,0.8416231402342513,0.7748451730418944,0.0004961951244551998,148.9901044368744
15,0.13850710342998976,0.1280389393751438,0.7967944828117626,0.6622264205318689,0.8454855787902945,0.7534061930783242,0.0004945287461998402,146.96894431114197
16,0.13792501878295396,0.1325690816514767,0.8104601200808127,0.6813223614965075,0.8455144570444695,0.7781967213114754,0.000492564448552348,147.66281986236572
17,0.13593863991198238,0.13705920714598435,0.7887075783361698,0.6511289629409237,0.8755723494109802,0.7175227686703096,0.0004903046247068297,147.89455890655518
18,0.1367662762132314,0.1229648283467843,0.8101593418529748,0.6808973422665354,0.8413669982147411,0.781183970856102,0.00048775202791054176,146.51089119911194
19,0.13713190842184936,0.12593124993145466,0.8123830551605419,0.6840446818231949,0.8351350311610372,0.7908378870673952,0.0004849097681094832,150.19555759429932
20,0.13653936713665454,0.1427844212605403,0.7843275466226286,0.6451799943674105,0.8769816249324446,0.7093806921675774,0.0004817813081594051,150.15485668182373
21,0.1351086987299962,0.13324086826581222,0.7898071433544525,0.6526291565987804,0.8699195898424662,0.7232058287795993,0.0004783704596068542,148.93345403671265
22,0.13591098125923323,0.1320521724052154,0.7987208501426744,0.664891961404256,0.8685426920607746,0.7392896174863388,0.00047468137804539085,148.49504494667053
23,0.1339111288355009,0.12078406375188094,0.8141235671301295,0.6865163558060736,0.8400139488928067,0.7897814207650273,0.0004707185580526384,147.44551372528076
24,0.13480055103967856,0.13712700728613597,0.5050068234585187,0.33779874810318666,0.3737114078115573,0.7785245901639344,0.00046648682771433214,147.94442629814148
25,0.13428221703381152,0.13530534147643125,0.8043320461078366,0.6727051966974259,0.8581252710488817,0.7568852459016393,0.0004619913427420415,148.87473821640015
26,0.1348438631441142,0.1264512434315223,0.8082242847720734,0.6781681103625281,0.8503529979685017,0.7700728597449908,0.0004572375801917286,149.56792330741882
27,0.13321309442724194,0.1308858355937096,0.7980442966801936,0.6639548316764021,0.861522221049298,0.7432786885245901,0.00045223133179080006,150.09217357635498
28,0.13165961648966815,0.12910213894568956,0.8003992983204272,0.6672214322647363,0.8552639754768957,0.7521493624772313,0.0004469786968817791,147.77088928222656
29,0.13139121989543373,0.12825012364639685,0.790732042011928,0.653893156424581,0.764621823007043,0.818688524590164,0.00044148607499119576,149.14002895355225
30,0.13251951444256413,0.13751621501376995,0.506719725492065,0.33933330141860946,0.37649162565064975,0.7746812386156648,0.0004357601580327504,150.37663912773132
31,0.1347149966603464,0.13122675109368104,0.7903793293018142,0.653410898513839,0.7951880530973451,0.7856284153005465,0.0004298079221542468,147.07714700698853
32,0.13221492618322372,0.13894183962390974,0.7256250701235036,0.5693968494764929,0.6895205603031148,0.7657194899817851,0.00042363661923823135,147.78999876976013
33,0.13183703652776038,0.12725142088647073,0.5685327236072184,0.3971678102484392,0.4290418939478274,0.8424225865209471,0.0004172537680666909,149.0660855770111
34,0.13175479941875548,0.12161530941151656,0.8170135812730046,0.6906364843581112,0.8193408928538717,0.8146994535519125,0.0004106671451605751,148.642249584198
35,0.13014419586607465,0.1333063251983661,0.7874871815294551,0.6494670980244035,0.8684042950308514,0.7203642987249544,0.00040388477530530354,147.84019374847412
36,0.13173669053090586,0.1308075454659187,0.7919423556436888,0.6555501381439948,0.8588340501639484,0.7347176684881603,0.00039691492177380106,146.82377552986145
37,0.13085651476573837,0.12030132301151752,0.8118610958332543,0.6833048669529267,0.8467579222217827,0.7797267759562841,0.0003897660762589719,150.02458477020264
38,0.13064925632699653,0.11334352438839582,0.8214446227929374,0.6969928088908259,0.8273256351039261,0.8156466302367942,0.0003824469485278807,150.54952311515808
39,0.13155150267522078,0.12495474202128556,0.550600813813348,0.3798821049858394,0.4094014515642468,0.8404735883424408,0.00037496645581024275,149.6634383201599
