label f1 iou precision recall
{Blue Ridge} 0.7464 0.5954 0.842 0.670
{Lytton} 0.7921 0.6558 0.740 0.853
{Elephant Hill} 0.8132 0.6852 0.764 0.870
{Chuckegg Creek} 0.8211 0.6965 0.846 0.797
{Sydney} 0.8221 0.6979 0.802 0.843
{Swedish} 0.8370 0.7196 0.810 0.866
{Tubbs} 0.8487 0.7371 0.888 0.812
{Double Creek} 0.8504 0.7397 0.921 0.790
{Camp} 0.8517 0.7417 0.843 0.861
{Sparks Lake} 0.8531 0.7438 0.827 0.881
{Eagle Bluff} 0.8548 0.7464 0.854 0.856
{Thomas} 0.8637 0.7602 0.880 0.848
{Creek} 0.8767 0.7805 0.896 0.858
{Carr} 0.8784 0.7832 0.890 0.867
{Dixie} 0.8971 0.8134 0.899 0.895
