epoch,train_loss,val_loss,val_f1,val_iou,val_prec,val_rec,lr,epoch_time
0,0.6408135141724738,0.4974141579407912,0.41508344303367445,0.2618960860805076,0.27055573700613916,0.8910970517986398,3.828999756011806e-05,314.29580187797546
1,0.5703288196960342,0.48470369095985705,0.5787928148302625,0.40725435451632347,0.4188898135004161,0.9361496526701552,9.037229015089628e-05,283.4930760860443
2,0.49901087526406085,0.4175506623891684,0.7399737196182263,0.5872684809351933,0.6508775815292619,0.857330391817237,0.00016830866940224548,289.3145031929016
3,0.2865147737908029,0.16672147609866583,0.782649344234823,0.6429119995363058,0.7580127109956947,0.8089412365307127,0.0002602203337612356,283.9264986515045
4,0.17047337787312883,0.13917494078095144,0.7958825006276676,0.6609674728940784,0.7830336820932653,0.8091600269841559,0.00035209841558726405,284.08807349205017
5,0.1570799146369796,0.15726801466483337,0.688418863817275,0.5248770699926923,0.620753804913062,0.772640253796926,0.0004299391657767774,286.476215839386
6,0.15141197099028347,0.1317036713545139,0.8012439658373561,0.6683961898861612,0.8162010856202598,0.7868251681951611,0.0004818783582377428,302.6516947746277
7,0.1446149506231892,0.146743242127391,0.5015016783463871,0.33466949618800595,0.3703800353157103,0.7763414589676737,0.0004999999948034457,278.9545454978943
8,0.14444954073596222,0.13930670487192962,0.6726391264100915,0.5067492494267275,0.5903038814765859,0.7816653600014586,0.0004997598277360178,279.2978127002716
9,0.14351484294388897,0.14116031418626124,0.7826396083450139,0.6428988602800073,0.8835049418671315,0.7024449833172279,0.0004990442305446306,285.20495200157166
10,0.14364265709697643,0.1256563659184254,0.7981596940126156,0.664114599948351,0.7992321755027423,0.7970900869692052,0.0004978545654092098,288.8863477706909
11,0.14212436678114337,0.12474912906495425,0.8118576340488802,0.683299962457765,0.8278907567803195,0.7964337156088755,0.000496193096924957,278.42266392707825
12,0.13945409495418318,0.12945906617320502,0.8084664749681031,0.6785092135334261,0.846071065585205,0.7740623917443069,0.0004940629877915634,298.96899580955505
13,0.1378705308328722,0.13498287189465302,0.7995472399048043,0.6660380703705494,0.8516869679919207,0.753423158969497,0.000491468292792832,287.69699454307556
14,0.137943924013003,0.1355284217458505,0.5140231510117522,0.3459159887731316,0.3796863577818777,0.795467391106168,0.0004884139510781656,286.6154844760895
15,0.13981582979871848,0.1222931516285126,0.811484473097322,0.6827714528998077,0.8347631624607199,0.7894688861742666,0.0004849057767606156,295.5370008945465
16,0.13805599165993315,0.1357318154321267,0.5878486639803091,0.41627880028583014,0.46949466347201047,0.7859864714569621,0.0004809504478493871,293.0256145000458
17,0.1370671497675303,0.1416903298634749,0.6941683569979716,0.5315910061745175,0.6469995116033589,0.7487556292960417,0.00047655549353786886,287.525536775589
18,0.13703567760987817,0.13083513367634553,0.7951232022726824,0.6599207518747748,0.8661752380133675,0.7348442029646106,0.0004717292798713855,286.16605401039124
19,0.1354339982374249,0.13196212239563465,0.7970827378899128,0.6626247398692382,0.8674331803166159,0.7372873630280599,0.00046648099382195547,302.5326623916626
20,0.13540361525717182,0.1394488261296199,0.7345720324057767,0.5804929646073124,0.7103878187113587,0.7604609185552537,0.0004608206258003668,299.6061849594116
21,0.1359752387713606,0.13463313447741362,0.5111235378557716,0.34329479365915233,0.37373328612136847,0.8082484000948092,0.00045475895063886297,294.10561537742615
